date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:13	640376/640376	---M--	200	added ('OK')	image/jpeg	etag:%229e3a79f7ffcc6357589e5202539ad5ef%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/13.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/13.jpg	(from https://sizquirt.net/)
16:42:14	64840/64840	---M--	200	added ('OK')	text/javascript	etag:%22ab10adf36a151cc1%22	https://apis.google.com/js/platform.js	C:/My%20Web%20Sites/dsdfs/apis.google.com/js/platform.js	(from https://sizquirt.net/)
16:42:14	2599143/2599143	---M--	200	added ('OK')	image/jpeg	etag:%22ecb52a3d96dba5ca83ce22f5358644b8%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_1939.JPG	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_1939.jpg	(from https://sizquirt.net/)
16:42:14	4387993/4387993	---M--	200	added ('OK')	image/jpeg	etag:%222052d841550817f89b3a21c7abe9e6e9%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3014.JPG	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3014.jpg	(from https://sizquirt.net/)
16:42:14	4098489/4098489	---M--	200	added ('OK')	image/jpeg	etag:%22b8eff7c5dacd323f3d9458e34d3e93e8%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3150.JPG	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3150.jpg	(from https://sizquirt.net/)
16:42:14	1494402/1494402	---M--	200	added ('OK')	image/jpeg	etag:%22de24600826e7d605dd65eab75f95c689%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3189.JPG	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/IMG_3189.jpg	(from https://sizquirt.net/)
16:42:14	671165/671165	---M--	200	added ('OK')	image/jpeg	etag:%22999c337e16198398258cb23918b35298%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/placeholder.JPG	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery03/placeholder.jpg	(from https://sizquirt.net/)
16:42:15	5028/5028	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Mar%202026%2003:42:15%20GMT	https://sizquirt.net/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/dsdfs/sizquirt.net/cdn-cgi/l/email-protection	(from https://sizquirt.net/)
16:42:15	41538/41538	---M--	200	added ('OK')	image/jpeg	etag:%22d756588a4d140d8ae8fd2d7a91b59883%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/image03.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/image03.jpg	(from https://sizquirt.net/)
16:42:15	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Mar%202026%2003:42:15%20GMT	https://sizquirt.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/dsdfs/sizquirt.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://sizquirt.net/)
16:42:15	79770/79770	---MCZ	200	added ('OK')	application/javascript	etag:W/%224cad5e959dcd5fafe7571d88612b0517%22	https://cdn.sizquirt.net/sizquirt/website/script.js	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/script.js	(from https://sizquirt.net/)
16:42:16	12332/12332	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Mar%202026%2003:42:15%20GMT	https://sizquirt.net/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/dsdfs/sizquirt.net/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://sizquirt.net/)
16:42:16	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Mar%202026%2003:42:16%20GMT	https://sizquirt.net/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/dsdfs/sizquirt.net/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://sizquirt.net/)
16:42:16	27998/27998	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Mar%202026%2003:42:16%20GMT	https://sizquirt.net/cdn-cgi/challenge-platform/h/g/scripts/jsd/ea2d291c0fdc/main.js?	C:/My%20Web%20Sites/dsdfs/sizquirt.net/cdn-cgi/challenge-platform/h/g/scripts/jsd/ea2d291c0fdc/maind41d.js	(from https://sizquirt.net/)
16:42:16	48896/48896	---M--	200	added ('OK')	font/woff2	etag:%22964b518c13e0eaf8f132d4e93a0d28e0%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/a247510a743bb348d220992580284ba1.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/a247510a743bb348d220992580284ba1.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:16	53264/53264	---M--	200	added ('OK')	font/woff2	etag:%222a33ba1494bd32bfc091dda33c3ffb8c%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/fe7eaad72d36050411ccb2c6c0038bcd.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/fe7eaad72d36050411ccb2c6c0038bcd.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:17	49804/49804	---M--	200	added ('OK')	font/woff2	etag:%22fba86d350db96c818360193bb37b4c4f%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/e7d53d8f521618b7d747751a3a27f221.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/e7d53d8f521618b7d747751a3a27f221.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:18	54696/54696	---M--	200	added ('OK')	font/woff2	etag:%22fac4fa1a323bc31ed8cabab723a707c6%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/ca665cd02292a61a75553d1b541ed81e.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/ca665cd02292a61a75553d1b541ed81e.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:18	50064/50064	---M--	200	added ('OK')	font/woff2	etag:%22836a135a9d4880131eca89bed1ea3558%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/cffbaccf419e195d8e40db72676e94d5.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/cffbaccf419e195d8e40db72676e94d5.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:18	55228/55228	---M--	200	added ('OK')	font/woff2	etag:%223ac1d835bd0f93e281a88c378ab3a021%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/7474fafa1b9b76c82be3307a0e004983.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/7474fafa1b9b76c82be3307a0e004983.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:18	49780/49780	---M--	200	added ('OK')	font/woff2	etag:%22aef79b39ab1f933234286b3e01d673ae%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/a1b355b62b458237c72e54c48a366980.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/a1b355b62b458237c72e54c48a366980.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:19	53788/53788	---M--	200	added ('OK')	font/woff2	etag:%22658f7d5cc6e7ca30c0516e5137e858c1%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/b84dda0c287cb5c06e79f20a8976e041.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/48b31c96f6240af403b659004525a8b1/b84dda0c287cb5c06e79f20a8976e041.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:19	21888/21888	---M--	200	added ('OK')	font/woff2	etag:%2265387d523983f0d04ceb7d0eff0b8ffe%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/535b35c6bb3b0406fc354a30a79a845e.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/535b35c6bb3b0406fc354a30a79a845e.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:19	24596/24596	---M--	200	added ('OK')	font/woff2	etag:%22f0ab0e8c24ef831932a6154d144a816f%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/059cc73a1abfb2d5b02d0a7e1ff83362.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/059cc73a1abfb2d5b02d0a7e1ff83362.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:19	21840/21840	---M--	200	added ('OK')	font/woff2	etag:%223e353572a9e29f87788a191baa670ef9%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/a51d7f10478a3d6827b409eb546d8fcf.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/a51d7f10478a3d6827b409eb546d8fcf.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:20	24668/24668	---M--	200	added ('OK')	font/woff2	etag:%221fa05eb0c250e2eb31f686bdda5a7d13%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/f0c6388fe7ff0c8fd30f323facb52ae4.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/71f91e190b3095761c817ea293e87452/f0c6388fe7ff0c8fd30f323facb52ae4.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:20	34240/34240	---M--	200	added ('OK')	font/woff2	etag:%22219c95bccca4721207e33e259cdb15c2%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/211a65900d7f942642bc8319dedee210/831f568fdf2136a62482438c921a69e3.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/211a65900d7f942642bc8319dedee210/831f568fdf2136a62482438c921a69e3.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:20	37500/37500	---M--	200	added ('OK')	font/woff2	etag:%2253b4c8b85e68a3ccf6f9f87d5a39134d%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/211a65900d7f942642bc8319dedee210/4a11a952286be76d0c1ef55614424460.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/211a65900d7f942642bc8319dedee210/4a11a952286be76d0c1ef55614424460.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:20	53576/53576	---M--	200	added ('OK')	font/woff2	etag:%22e008e093be4eec1eced4822ee7c453eb%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/e4e9d99943834aa837e2c43d95de798e/f1b2f2a3a872f56cf6564f3103764a6b.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/e4e9d99943834aa837e2c43d95de798e/f1b2f2a3a872f56cf6564f3103764a6b.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:21	57024/57024	---M--	200	added ('OK')	font/woff2	etag:%223ef729036c5487523313e4985903b585%22	https://cdn.sizquirt.net/sizquirt/website/assets/fonts/e4e9d99943834aa837e2c43d95de798e/8898c67bae74f8464fdab30fbdb0ffbc.woff2	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/fonts/e4e9d99943834aa837e2c43d95de798e/8898c67bae74f8464fdab30fbdb0ffbc.woff2	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:22	789/789	---MCZ	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202026%2003:42:21%20GMT	https://cdn.sizquirt.net/robots.txt		(from https://cdn.sizquirt.net/sizquirt/website/style.css)
16:42:22	794725/794725	---M--	200	added ('OK')	image/jpeg	etag:%22b7418c55f52db02e9a825605381c89fa%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/bg.jpg?v=4057fecb	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/bgd90c.jpg	(from https://cdn.sizquirt.net/sizquirt/website/style.css)
